# image_id qw qx qy qz Cx Cy Cz camera_id name cluster_label
285 0.82181680 -0.12251236 0.55076782 0.07913708 2.91177970 1.92715586 -2.11251989 1 frame_00285.png 2
28 -0.25549517 0.02962022 0.89180519 0.37219399 -2.00382730 -1.45030438 3.30352305 1 frame_00028.png 0
284 0.84149694 -0.12661065 0.51940707 0.07790342 2.83656151 1.97297071 -2.26685967 1 frame_00284.png 2
27 -0.22686734 0.03190448 0.89768829 0.37638949 -1.78365044 -1.47061820 3.33269646 1 frame_00027.png 0
283 0.86428888 -0.12981602 0.47974075 0.07746837 2.73628776 2.05897786 -2.41845639 1 frame_00283.png 2
26 -0.19388623 0.03510133 0.90418381 0.37898241 -1.56913408 -1.47760270 3.38317693 1 frame_00026.png 0
282 0.88245565 -0.13655304 0.44378638 0.07535874 2.59863152 2.11591160 -2.57600233 1 frame_00282.png 2
25 -0.16443223 0.03867275 0.90857605 0.38204191 -1.39883265 -1.51567492 3.40030453 1 frame_00025.png 0
281 0.90364228 -0.14263377 0.39728504 0.07246268 2.42295902 2.18849420 -2.77109540 1 frame_00281.png 2
24 -0.12722893 0.04355994 0.91303263 0.38508019 -1.15390088 -1.50283823 3.38177598 1 frame_00024.png 0
280 0.91543561 -0.14725842 0.36794483 0.07006570 2.30242712 2.22676552 -2.88328899 1 frame_00280.png 2
23 -0.09361423 0.04838880 0.91605338 0.38696395 -0.91448589 -1.50398233 3.36836226 1 frame_00023.png 0
279 0.92998635 -0.15544330 0.32655143 0.06577945 2.08343477 2.26647884 -3.06048196 1 frame_00279.png 2
22 -0.05901991 0.05286577 0.91782984 0.38898617 -0.72472725 -1.51465660 3.39673640 1 frame_00022.png 0
278 0.94811919 -0.16038207 0.26804860 0.05914002 1.81105035 2.35970071 -3.25194362 1 frame_00278.png 2
21 -0.02487597 0.05690788 0.91877890 0.38985641 -0.54761689 -1.52865882 3.44776100 1 frame_00021.png 0
277 0.95427873 -0.16516103 0.24292542 0.05532787 1.67192363 2.38210014 -3.33308549 1 frame_00277.png 2
20 0.00629611 0.05987342 0.91910278 0.38939133 -0.40195986 -1.56300215 3.46117033 1 frame_00020.png 0
276 0.96319377 -0.17226129 0.20071806 0.04791734 1.43955131 2.43081100 -3.45192677 1 frame_00276.png 2
19 0.04988142 0.06390711 0.91833292 0.38741757 -0.17990942 -1.53739405 3.40785217 1 frame_00019.png 0
275 0.96798027 -0.17949493 0.17036907 0.04207319 1.25152617 2.46690451 -3.52503165 1 frame_00275.png 2
